short_name,skip_score,location_city,cussine_list
presto pizza,94,Calgary,Italian
prestopie pizzeria,99,Calgary,Italian
primo yyc pizza & pasta,100,Calgary,Italian
pudina indian restaurant,93,Calgary,Indian
pulcinella,86,Calgary,Italian
pulcinella americano,80,Calgary,Italian
punjaabi indian cuisine,84,Calgary,Indian
punjabi chaap corner,82,Calgary,Indian
punjabi chulha,88,Calgary,Indian
punjabi chulha restaurant & sweets redstone skyview,93,Calgary,Indian
punjabi dhaba restaurant & sweets,74,Calgary,Indian
punjabi spice kitchen,100,Calgary,Indian
punjabi sweet house & restaurant,90,Calgary,Indian
pure casino calgary,75,Calgary,Italian
pure contemporary vietnamese kitchen + bar,69,Calgary,Vietnamese
pure street food,86,Calgary,Vietnamese
puspa,75,Calgary,Indian
puspa restaurant,94,Calgary,Indian
pza parlour,92,Calgary,Italian
q.kitchen food inc.,72,Calgary,Indian
qila organic restaurant,74,Calgary,Indian
quechivo salvadoran street food,100,Calgary,Mexican
quesada burritos & tacos,91,Calgary,Mexican
quesada burritos & tacos - just eat,75,Calgary,Mexican
quynh vietnamese cuisine,99,Calgary,Vietnamese
raj palace,99,Calgary,Indian
raj palace restaurant,91,Calgary,Indian
raja foods,81,Calgary,Indian
raja foods east indian & pakistani restaurant,80,Calgary,"Indian, Middle Eastern"
raja foods marlborough,84,Calgary,"Indian, Middle Eastern"
raja's grill,82,Calgary,Indian
rajbhog,80,Calgary,"Chinese, Indian"
rajdoot restaurant,85,Calgary,Indian
rajdoot restaurant - just eat,75,Calgary,Indian
rajput catering and restaurant,76,Calgary,"Indian, Middle Eastern"
ramadan catering & take out restaurant,93,Calgary,"Indian, Middle Eastern"
rasoi,80,Calgary,"Chinese, Indian"
rasoi east indian hakka cuisine,71,Calgary,Indian
rasoi east indian restaurant,94,Calgary,Indian
rau bistro,80,Calgary,Vietnamese
rau bistro: vietnamese street food,88,Calgary,Vietnamese
raw bar,75,Calgary,"Vietnamese, Korean"
rea's italian cucina,85,Calgary,Italian
red ember japanese cuisine,72,Calgary,Japanese
red olive bistro & catering,80,Calgary,Italian
red rock pizza express,96,Calgary,Italian
red sea convenience store and halal meat,72,Calgary,Convenience
red swan pizza,90,Calgary,Italian
regency palace,87,Calgary,Chinese
renaissance on 11th,82,Calgary,Italian
rendezvous,100,Calgary,Korean
restaurant at the lougheed house,80,Calgary,French
ric's lounge & grill,72,Calgary,Mediterranean
ricardo's latín corner restaurant,80,Calgary,Mexican
rice for king,91,Calgary,Vietnamese
rice table korean kitchen,82,Calgary,Korean
ricky ticky tacos,93,Calgary,Mexican
rio pizza,100,Calgary,Italian
ripe tomato pizza,75,Calgary,Italian
ripe tomato pizza bar,93,Calgary,Italian
ripe tomato pizza marda loop,96,Calgary,"Mediterranean, Italian"
ritage restaurant,72,Calgary,Middle Eastern
rocky's italian,91,Calgary,Italian
roku japanese restaurant,75,Calgary,Japanese
roma italian restaurant,80,Calgary,"Mediterranean, Italian"
romano's pizzeria,72,Calgary,Italian
rose garden thai restaurant,95,Calgary,Thai
roti hut,89,Calgary,Indian
roy's korean kitchen,81,Calgary,Korean
royal bites indian cuisine,98,Calgary,Indian
royal canadian pizza,99,Calgary,Middle Eastern
royal ganesha,80,Calgary,Indian
royal ganesha - lunch,80,Calgary,Indian
royal india,97,Calgary,Indian
royal mango shivaa,84,Calgary,"Chinese, Indian, Middle Eastern"
royal paan,93,Calgary,Indian
royal pizza,98,Calgary,Italian
royal pizza signal hill,91,Calgary,Italian
royale,79,Calgary,"Mediterranean, French"
ruby queen restaurant,67,Calgary,Chinese
ruby thai kitchen,75,Calgary,Thai
ryuko - japanese kitchen + bar,81,Calgary,Japanese
saaj grill,72,Calgary,Middle Eastern
saap thai kitchen,98,Calgary,Thai
sabores,97,Calgary,Mexican
safa shawarma,80,Calgary,Middle Eastern
safari grill,86,Calgary,African
saffron,79,Calgary,Indian
saffron bistro,97,Calgary,Indian
saffron kitchen and bakery,93,Calgary,Middle Eastern
saffron mantra,80,Calgary,"Indian, French"
sahana's sri lankan and south indian fusion,80,Calgary,Indian
sahara pizza,100,Calgary,Italian
saigon baguette,80,Calgary,Vietnamese
saigon corner restaurant,80,Calgary,Vietnamese
saigon deli,96,Calgary,Vietnamese
saigon gourmet restaurant,80,Calgary,Vietnamese
saigon maxim,86,Calgary,Vietnamese
saigon night,98,Calgary,Thai
saigon noodle world,80,Calgary,Vietnamese
saigon pearl,91,Calgary,Vietnamese
saigon red sky vietnamese restaurant,95,Calgary,Vietnamese
saigon rex,97,Calgary,Chinese
saigon south,72,Calgary,Vietnamese
saigon star ultimate sub and vietnamese cuisine,93,Calgary,Vietnamese
saigon star vietnamese cuisine,80,Calgary,Vietnamese
saigon thai restaurant,80,Calgary,Thai
saigon west asian kitchen,80,Calgary,Chinese
saj bakery,80,Calgary,Mediterranean
salsita mexican food corp.,93,Calgary,Mexican
salt and pepper mexican restaurant,67,Calgary,Mexican
saman restaurant & bakery,75,Calgary,Middle Eastern
sammy's sports bar,80,Calgary,"Korean, Chinese"
samosa garden express,80,Calgary,Indian
samosa house & tiffin,77,Calgary,Indian
samosa junction,90,Calgary,Indian
samurai ramen & sushi,99,Calgary,Japanese
satay house,80,Calgary,Vietnamese
saveg cafe,90,Calgary,Korean
savino pizzeria,91,Calgary,Italian
savoy's south indian kitchen,98,Calgary,"Indian, Middle Eastern"
sawa market & cafe,80,Calgary,"Mediterranean, Italian, Middle Eastern"
scarpetta italian eatery,80,Calgary,Italian
scarpetta pizzeria,84,Calgary,Italian
schanks sports grill,85,Calgary,Mexican
seanachie irish pub,86,Calgary,Italian
secret cafe vietnamese sub,89,Calgary,Vietnamese
sector 17,83,Calgary,Indian
sedar grove - dnu,80,Calgary,Italian
sedar grove - just eat,75,Calgary,Italian
sen vietnamese kitchen,90,Calgary,"Vietnamese, Chinese"
seoul korean bbq,96,Calgary,"Korean, Chinese"
sesame,97,Calgary,Chinese
shahi flavours,93,Calgary,Indian
shahi masala paan,80,Calgary,Indian
shalimar paan and chatkhara house,87,Calgary,Indian
shanghai classic restaurant,82,Calgary,Chinese
shangri-la palace,80,Calgary,"Chinese, Indian"
sharma sweets restaurant,73,Calgary,Indian
shawarma and falafel city,95,Calgary,"Mediterranean, Middle Eastern"
shawarma and kebob house,93,Calgary,Middle Eastern
shawarma ave,95,Calgary,Middle Eastern
shawarma barlow,91,Calgary,Middle Eastern
shawarma corner,98,Calgary,Mediterranean
shawarma empire,80,Calgary,"Indian, Middle Eastern"
shawarma grill and meat shop,78,Calgary,Middle Eastern
shawarma house,90,Calgary,Middle Eastern
shawarma king,67,Calgary,Mediterranean
shawarma knight,75,Calgary,"Mediterranean, Middle Eastern"
shawarma passion by shawarma palace,89,Calgary,Mexican
shawarma pizza zone,72,Calgary,Middle Eastern
shawarma station,80,Calgary,"Mediterranean, Middle Eastern"
shawarma station - just eat,75,Calgary,"Mediterranean, Middle Eastern"
shawarmoes sandwiches & cocktails,80,Calgary,Middle Eastern
shawdesi bazaar foods & catering,91,Calgary,Indian
shawnessy pizza & butter chicken house,80,Calgary,Indian
shawnessy vietnamese restaurant,98,Calgary,Vietnamese
shell,74,Calgary,Convenience
shem's,80,Calgary,Mediterranean
shibuya izakaya,97,Calgary,Japanese
shigatsu fusion japanese lounge,80,Calgary,Japanese
shijo sushi,80,Calgary,"Chinese, Japanese"
shiki menya,90,Calgary,Japanese
sho sushi bar & kitchen,88,Calgary,Japanese
shogun grill,75,Calgary,Thai
shokudo restaurant and lounge,80,Calgary,Japanese
shokunin,90,Calgary,Japanese
si foods - supreme dosa,84,Calgary,Indian
sichani's mediterranean,80,Calgary,Mediterranean
side street pub & grill,95,Calgary,Indian
side street pub & grill - just eat,75,Calgary,Indian
silina's mediterranean,75,Calgary,Mediterranean
silver city,99,Calgary,Chinese
simmer hong,93,Calgary,Chinese
simply irie caribbean cuisine,94,Calgary,Caribbean
sinbad shawarma,75,Calgary,Indian
singapore sam's,96,Calgary,Chinese
singapore sam's late night,80,Calgary,Chinese
singapore sam's vegetarian & gluten-free,90,Calgary,Chinese
singh's tiffin,80,Calgary,Indian
siomai queen,100,Calgary,Filipino
sizzlin' suteki,80,Calgary,Japanese
sizzling grill,76,Calgary,Indian
skip express lane,95,Calgary,Convenience
skylark restaurant,85,Calgary,Indian
smooth curry thai cuisine,80,Calgary,Thai
snow fairy,80,Calgary,Korean
snow palace,95,Calgary,Chinese
soban korean bbq,87,Calgary,Korean
sole restaurant,80,Calgary,Korean
soluxe restaurant,80,Calgary,Chinese
something more,96,Calgary,"Vietnamese, Chinese"
song viet,80,Calgary,Vietnamese
sophie's pizza,98,Calgary,Italian
soul cooking,80,Calgary,Indian
south indian food junction,80,Calgary,Indian
southview vietnamese village,93,Calgary,Vietnamese
spaghetti cafe prairie,80,Calgary,Italian
spice 7,80,Calgary,Indian
spice cafe & lounge,80,Calgary,"Indian, Thai"
spice hut,97,Calgary,Indian
spices east indian take-out,80,Calgary,Indian
spicy amigos,81,Calgary,"Mexican, Latin American"
spicy chef,97,Calgary,Indian
spicy delights,80,Calgary,Indian
spicy root restaurant,78,Calgary,Indian
spolumbo's cafe,99,Calgary,Italian
spolumbo's fine foods,95,Calgary,Italian
spring roll chalet,93,Calgary,Vietnamese
spring vietnamese cuisine,100,Calgary,Vietnamese
ss106 aperitivo bar,72,Calgary,Italian
sso yummy,100,Calgary,Korean
ssome,93,Calgary,Korean
stonebowl korean cuisine,80,Calgary,Korean
streats braeside kitchen,92,Calgary,"Mexican, Latin American"
streats legacy,88,Calgary,"Mexican, Latin American"
streets of mumbai - indian street food & grill,80,Calgary,Indian
subs n more,93,Calgary,Mediterranean
subsnbubbles,88,Calgary,"Korean, Vietnamese"
sucre patisserie and cafe,81,Calgary,French
sukhi da dhaba,75,Calgary,Indian
sumo grill japanese restaurant,75,Calgary,Japanese
sumo lounge,76,Calgary,Japanese
sun's bbq restaurant,91,Calgary,Chinese
sunpark cafe,80,Calgary,"Mediterranean, Middle Eastern"
sunshine vietnamese,82,Calgary,"Vietnamese, Chinese"
super pizza,80,Calgary,Indian
surahi restaurant,94,Calgary,Indian
surya,76,Calgary,Indian
surya rundlehorn restaurant and sweets,72,Calgary,Indian
sushi & co.,91,Calgary,"Chinese, Japanese"
sushi & kitchen,92,Calgary,"Thai, Japanese"
sushi 2 you,80,Calgary,Japanese
sushi ai,95,Calgary,Japanese
sushi bar zipang,86,Calgary,Japanese
sushi bbq inn,95,Calgary,Japanese
sushi bistro anzu,98,Calgary,Japanese
sushi boat,84,Calgary,Japanese
sushi center,82,Calgary,Japanese
sushi ichiban,80,Calgary,Japanese
sushi ichiban - just eat,75,Calgary,Japanese
sushi ichiban westbrook,97,Calgary,Japanese
sushi kawa japanese restaurant,82,Calgary,Japanese
sushi kimu,96,Calgary,Japanese
sushi mori japanese bistro,80,Calgary,Japanese
sushi party,77,Calgary,Japanese
sushi q,80,Calgary,Japanese
sushi shop,95,Calgary,Japanese
sushi sushi japanese restaurant,75,Calgary,Japanese
sushi ten,94,Calgary,Japanese
sushi toki,98,Calgary,Japanese
sushiin,87,Calgary,Japanese
swagat indian restaurant and sweets,80,Calgary,Indian
swiss chalet master menu,80,Calgary,Italian
t.pot china bistro,77,Calgary,Chinese
tabu vietnamese fusion cuisine,80,Calgary,Vietnamese
taco del mar,73,Calgary,Mexican
taco time,94,Calgary,Mexican
taco time - dnu,74,Calgary,Mexican
tacos mexico,74,Calgary,Mexican
tahini's,82,Calgary,"Mediterranean, Middle Eastern"
tai pan dim sum,80,Calgary,Chinese
taichi asian cuisine,93,Calgary,Chinese
taiko canteen,75,Calgary,Korean
taiyo,86,Calgary,Japanese
taj mahal,100,Calgary,Indian
take it and go,75,Calgary,African
taketomi village chinese cuisine,82,Calgary,"Chinese, Indian, Thai"
takori,75,Calgary,Mexican
takoyami,88,Calgary,Japanese
takumi sushi,98,Calgary,Japanese
tam vietnamese submarine,75,Calgary,Vietnamese
tamarind,90,Calgary,Indian
tamarind - just eat,75,Calgary,Indian
tambayan at kainang filipino restaurant,97,Calgary,Filipino
tandoori grill,80,Calgary,Indian
tandoori kabab hut,95,Calgary,Indian
tandoori nights calgary,72,Calgary,Indian
tandoori paradise formerly s&m meats,80,Calgary,Indian
tandoori taj,93,Calgary,Indian
tandori indian cuisine,80,Calgary,Indian
tang dynasty restaurant,86,Calgary,Chinese
tang vietnamese subs & grill,97,Calgary,"Vietnamese, Chinese"
tango vietnamese & thai,82,Calgary,Vietnamese
tao vietnamese cuisine,80,Calgary,Vietnamese
tao's pizza & steakhouse,80,Calgary,Italian
taqueria el charrito,90,Calgary,Mexican
taqueria el chefe,70,Calgary,Mexican
taqueria luce,80,Calgary,Mexican
taste café,93,Calgary,Korean
taste of chennai,80,Calgary,Indian
taste of ginger,80,Calgary,"Vietnamese, Thai"
taste of himalayas,92,Calgary,Indian
taste of india,92,Calgary,Indian
taste of korea,100,Calgary,Korean
taste of thailand,96,Calgary,Thai
taste of thailand - just eat,75,Calgary,Thai
tasty halal store,72,Calgary,"Convenience, Middle Eastern"
tasty indian cuisine & banquet hall,72,Calgary,Indian
tastypoint,80,Calgary,Chinese
tea zone,75,Calgary,Vietnamese
teaspoon,80,Calgary,Indian
teatro,82,Calgary,Italian
teff n greens,80,Calgary,Ethiopian
tekkotsu ya ramen,80,Calgary,Japanese
temple food store,92,Calgary,Convenience
temple shawarma,92,Calgary,Middle Eastern
tenshi sushi,82,Calgary,Japanese
termeh food and pastry,80,Calgary,"Mediterranean, Middle Eastern"
termeh mediterranean and persian,80,Calgary,"Mediterranean, Middle Eastern"
tg juice bar & breakfast,86,Calgary,African
thai bistro,82,Calgary,Thai
thai boat restaurant,97,Calgary,Thai
thai express,82,Calgary,Thai
thai fusion delight,80,Calgary,Thai
thai fusion delight  - just eat,75,Calgary,Indian
thai nongkhai restaurant,85,Calgary,Thai
thai tai,80,Calgary,"Vietnamese, Thai"
thai tai 303 centre,80,Calgary,"Vietnamese, Thai"
thai tai vietnamese sub & grill,94,Calgary,"Vietnamese, Thai"
thai thien sub,94,Calgary,Thai
thanh long noodle house,80,Calgary,Vietnamese
that's italian too,80,Calgary,Italian
the ben & jerry's ice cream shop,80,Calgary,Convenience
the block kitchen and lounge,75,Calgary,Italian
the blue house,82,Calgary,Italian
the casbah restaurant,80,Calgary,"African, Middle Eastern"
the chai bar,78,Calgary,Indian
the cheesecake cafe,87,Calgary,Italian
the cheesecake factory bakery desserts by la diperie,75,Calgary,French
the chick pea,93,Calgary,Middle Eastern
the cholas,88,Calgary,Indian
the crown restaurant,72,Calgary,Indian
the curry leaf,80,Calgary,Indian
the curry leaf bar & restaurant,80,Calgary,"Chinese, Indian"
the dandelion cafe,75,Calgary,Indian
the den,88,Calgary,Korean
the desert pita & grill,90,Calgary,"Mediterranean, Middle Eastern"
the donair place & mediterranean cuisine,91,Calgary,Middle Eastern
the hub cafe,76,Calgary,Convenience
the indian food,96,Calgary,Indian
the king and i thai,82,Calgary,Thai
the moose and poncho,82,Calgary,Mexican
the muster place,80,Calgary,Italian
the namaste india buffet & chaat house,76,Calgary,Indian
the one sushi,82,Calgary,Japanese
the placery at the hyatt place calgary airport,90,Calgary,Korean
the plate,80,Calgary,Korean
the samosa factory,97,Calgary,Indian
the spices,80,Calgary,Indian
the station pub + grill,84,Calgary,Italian
the street eatery,97,Calgary,Japanese
the submarine,93,Calgary,Vietnamese
three fortunes chinese restaurant,71,Calgary,"Vietnamese, Chinese"
thé moon tea house,80,Calgary,Japanese
tiger katsu and sushi,80,Calgary,Japanese
tikha masala,80,Calgary,Indian
tin tin dim sum,90,Calgary,Japanese
tini vietnamese restaurant,91,Calgary,Vietnamese
tipsy pig kitchen & bar,93,Calgary,Italian
tnk vietnamese restaurant,84,Calgary,Vietnamese
to go square,80,Calgary,Korean
to me sub,91,Calgary,Vietnamese
toa vietnamese cuisine,80,Calgary,Vietnamese
tobe teppanyaki lounge,93,Calgary,"Chinese, Japanese"
tok-tok calgary,72,Calgary,Korean
tokachi japanese restaurant,91,Calgary,Japanese
tokaido ramen & sushi,97,Calgary,Japanese
tokyo station,98,Calgary,Japanese
tokyo street market,91,Calgary,Japanese
top brass restaurant and lounge,91,Calgary,Chinese
top in town pizza,94,Calgary,Italian
toro bravo taqueria,73,Calgary,Mexican
toscana italian grill,85,Calgary,Italian
toto pizza,72,Calgary,Italian
towa sushi,83,Calgary,Japanese
towa sushi - just eat,75,Calgary,Japanese
tre viet-vietnamese cuisine,80,Calgary,Vietnamese
tres carnes taqueria,80,Calgary,Mexican
tres marias food market,90,Calgary,Convenience
trio express,72,Calgary,"Mediterranean, Middle Eastern"
trio restaurant & cafe,72,Calgary,"Mediterranean, Middle Eastern"
trullo trattoria,90,Calgary,Italian
truly good chinese food,92,Calgary,Chinese
trung nguyen v-n subs,93,Calgary,Vietnamese
trust convenience ltd.,80,Calgary,Convenience
tsujiri,93,Calgary,Japanese
tu taco,87,Calgary,Mexican
tu tierra,92,Calgary,Mexican
tu:go yyc,97,Calgary,"Korean, Japanese"
tuk tuk thai,91,Calgary,Thai
tumey's subs and bubs,80,Calgary,"Vietnamese, Indian"
turca turkish food,72,Calgary,Middle Eastern
turca turkish food&market,93,Calgary,Mediterranean
turkish kebab house,93,Calgary,Mediterranean
turmeric indian restaurant,94,Calgary,Indian
tusks grill,93,Calgary,"African, Indian"
twe's sub,80,Calgary,Vietnamese
two penny chinese,82,Calgary,Chinese
u & me,92,Calgary,"Chinese, Japanese, Thai"
umami burger,80,Calgary,Thai
umi sushi express,76,Calgary,Japanese
unimarket,80,Calgary,Mexican
universe restaurant,67,Calgary,Italian
upper nile restaurant,80,Calgary,African
uptown pizza,88,Calgary,"Indian, Middle Eastern"
uptown sushi,80,Calgary,Japanese
urban st. donair,92,Calgary,Middle Eastern
utsav sweets and restaurant,93,Calgary,Indian
vagabond,80,Calgary,Chinese
van son,80,Calgary,"Vietnamese, Chinese"
van son vietnamese cuisine 16th avenue northwest,97,Calgary,Vietnamese
varsity pizza & subs,92,Calgary,Italian
vault17,75,Calgary,African
veg-in yyc,80,Calgary,Indian
vegan street taco bar,82,Calgary,Mexican
vegetarian delite bakery & pizza,80,Calgary,Indian
veggie king,80,Calgary,"Chinese, Indian"
vera's burger shack,92,Calgary,Mexican
vern's pizza millrise,100,Calgary,Italian
vero bistro moderne,82,Calgary,Italian
verona pizza,93,Calgary,Italian
via cibo - dnu,82,Calgary,Italian
vic's hong kong style bbq & cafe,76,Calgary,Japanese
vien dong deli,86,Calgary,Vietnamese
viet garden restaurant,96,Calgary,Vietnamese
viet hai,84,Calgary,Vietnamese
viet lounge,77,Calgary,Vietnamese
viet noodle bar,80,Calgary,Vietnamese
viet thai bistro,79,Calgary,"Vietnamese, Thai"
viet to go subs,100,Calgary,Vietnamese
viet west restaurant,100,Calgary,Vietnamese
vietnam fortune restaurant,91,Calgary,Vietnamese
vietnam palace grill & noodle house (creekside mall),96,Calgary,"Vietnamese, Thai"
vietnam palace grill & noodle house (marlborough mall),99,Calgary,"Vietnamese, Thai"
vietnam restaurant,80,Calgary,Vietnamese
vietnam sub & grill,96,Calgary,Vietnamese
vietnamese beef stew noodle house,98,Calgary,Vietnamese
vietnamese chop chop,100,Calgary,Vietnamese
vietnamese poutine made by thai tai,72,Calgary,Vietnamese
vietnamese subs & bubs,80,Calgary,Vietnamese
vietnamese village express ltd,75,Calgary,Vietnamese
villa firenze,74,Calgary,Italian
village pita bakery,80,Calgary,Mediterranean
villages pizza,88,Calgary,Italian
vin room mission,79,Calgary,Italian
viva mexico,82,Calgary,"Mexican, Latin American"
vivaan's yummies,81,Calgary,Indian
waalflower kitchen & cocktails,80,Calgary,Italian
wakado ramen,100,Calgary,Japanese
wami ootoya japanese cuisine,98,Calgary,Japanese
wasim's donair & pizza,93,Calgary,"Italian, Middle Eastern"
well bake,93,Calgary,"Mediterranean, Middle Eastern"
western chinese food restaurant,80,Calgary,Chinese
western sushi express,72,Calgary,Japanese
westwind shawarma,80,Calgary,"Mediterranean, Middle Eastern"
what the poke,88,Calgary,Chinese
white elephant thai cuisine,91,Calgary,Thai
whitehorn 786 pizza,82,Calgary,Mediterranean
wholelifego,93,Calgary,Japanese
windsor pizza co.,72,Calgary,Italian
winebar kensington,72,Calgary,Italian
wing's fine foods to go,81,Calgary,Chinese
wings n tings,80,Calgary,Caribbean
winks convenience,74,Calgary,Convenience
winton chinese,84,Calgary,"Vietnamese, Chinese"
without papers pizza,86,Calgary,Italian
wok box,88,Calgary,"Vietnamese, Chinese, Japanese, Thai"
wok with dave,88,Calgary,Chinese
wonton express,72,Calgary,Chinese
wow bao,93,Calgary,Chinese
wow chicken chinatown,99,Calgary,Chinese
wrap me up,87,Calgary,Mediterranean
wurst,90,Calgary,German
wycked deli,80,Calgary,Korean
xs lounge and grill at the radisson,72,Calgary,Indian
y93 sushi crave japanese cafe,96,Calgary,Japanese
yaad gaar,76,Calgary,Indian
yakuza sushi,80,Calgary,Japanese
yalla yalla,80,Calgary,Mediterranean
yamato sushi,80,Calgary,Japanese
yamazaki sushi kitchen,66,Calgary,Japanese
yellow box,80,Calgary,Italian
yenny delights,93,Calgary,African
yifang taiwan fruit tea,100,Calgary,"Vietnamese, Chinese"
yim siam thai street food,96,Calgary,Thai
yuga downtown,80,Calgary,Indian
yuga traditional indian kitchen and bar,80,Calgary,Indian
yuga westspring,80,Calgary,Indian
yum yum bbq chicken,100,Calgary,Korean
yum yum restaurant,80,Calgary,Chinese
yume sushi,87,Calgary,Japanese
yummy cafe,93,Calgary,Korean
yummy one chinese restaurant,70,Calgary,Chinese
yummy yummy restaurant,86,Calgary,Chinese
yyc hakka junction,80,Calgary,Indian
yyc pasta bar,90,Calgary,Italian
yyc perogies and rice bowls,80,Calgary,Mexican
zaafran lounge & grill,72,Calgary,"Indian, Middle Eastern"
zab der authentic thai and sushi,90,Calgary,Thai
zaika biryani house,82,Calgary,"Indian, Middle Eastern"
zaika the indian delicacy,95,Calgary,Indian
zam zam catering inc.,75,Calgary,Indian
zaman middle eastern cuisine,75,Calgary,Middle Eastern
zayna kilimanjaro & vietnamese cuisine & grill,80,Calgary,Vietnamese
zcrew cafe,69,Calgary,Korean
zen 8 grill,80,Calgary,"Chinese, Japanese"
zimidara restaurant,67,Calgary,Indian
